feature,mean_importance
has_superstructure_mud_mortar_brick,-7.875952577844903e-05
has_superstructure_bamboo,-3.690914814113988e-06
position_j,-2.2204460492503132e-17
other_floor_type_s,-2.2204460492503132e-17
plan_configuration_c,0.0
plan_configuration_s,0.0
plan_configuration_o,0.0
plan_configuration_a,0.0
plan_configuration_n,0.0
plan_configuration_m,0.0
plan_configuration_f,0.0
has_superstructure_cement_mortar_stone,0.0
has_superstructure_timber,0.0
has_superstructure_rc_non_engineered,0.0
has_superstructure_rc_engineered,0.0
has_superstructure_other,0.0
legal_ownership_status_v,0.0
legal_ownership_status_w,0.0
legal_ownership_status_a,0.0
legal_ownership_status_r,0.0
count_families,0.0
has_secondary_use,0.0
has_secondary_use_agriculture,0.0
has_secondary_use_hotel,0.0
has_secondary_use_rental,0.0
has_secondary_use_institution,0.0
has_secondary_use_school,0.0
has_secondary_use_industry,0.0
has_secondary_use_health_post,0.0
has_secondary_use_gov_office,0.0
plan_configuration_u,0.0
has_secondary_use_use_police,0.0
has_secondary_use_other,0.0
plan_configuration_d,0.0
geo_level_3_id,0.0
area_percentage,0.0
height_percentage,0.0
land_surface_condition_t,0.0
land_surface_condition_n,0.0
land_surface_condition_o,0.0
foundation_type_h,0.0
roof_type_n,0.0
plan_configuration_q,0.0
ground_floor_type_x,0.0
roof_type_q,0.0
position_t,0.0
position_s,0.0
ground_floor_type_m,0.0
other_floor_type_j,0.0
other_floor_type_x,0.0
position_o,0.0
ground_floor_type_z,0.0
ground_floor_type_f,9.20843494114365e-06
geo_level_2_id,1.4660901344476507e-05
age,3.9310678683035506e-05
other_floor_type_q,4.590429355781911e-05
count_floors_pre_eq,6.613456145543317e-05
has_superstructure_adobe_mud,7.224834428727344e-05
foundation_type_w,9.796018302727915e-05
roof_type_x,0.0001541871851262977
foundation_type_u,0.00025209069334055647
has_superstructure_stone_flag,0.0014676590550793955
ground_floor_type_v,0.0016126988644346919
has_superstructure_cement_mortar_brick,0.002800518823861786
foundation_type_i,0.0057976183700402025
has_superstructure_mud_mortar_stone,0.026498546912361066
geo_level_1_id,0.05204488184366607
foundation_type_r,0.06249599440542233
