feature,mean_importance
geo_level_2_id,-6.661338147750939e-17
legal_ownership_status_w,-6.661338147750939e-17
area_percentage,-4.4408920985006264e-17
position_s,-4.4408920985006264e-17
roof_type_x,-4.4408920985006264e-17
position_t,-4.4408920985006264e-17
has_secondary_use_other,-2.2204460492503132e-17
ground_floor_type_z,-2.2204460492503132e-17
legal_ownership_status_v,-2.2204460492503132e-17
has_superstructure_other,-2.2204460492503132e-17
has_superstructure_rc_non_engineered,-2.2204460492503132e-17
position_j,-2.2204460492503132e-17
has_superstructure_mud_mortar_brick,-2.2204460492503132e-17
plan_configuration_q,-2.2204460492503132e-17
plan_configuration_u,-2.2204460492503132e-17
plan_configuration_s,-2.2204460492503132e-17
has_superstructure_adobe_mud,-2.2204460492503132e-17
position_o,-2.2204460492503132e-17
plan_configuration_f,-2.2204460492503132e-17
legal_ownership_status_a,-2.2204460492503132e-17
roof_type_q,-2.2204460492503132e-17
roof_type_n,-2.2204460492503132e-17
geo_level_3_id,-2.2204460492503132e-17
has_secondary_use,-2.2204460492503132e-17
has_secondary_use_agriculture,-2.2204460492503132e-17
has_secondary_use_hotel,-2.2204460492503132e-17
land_surface_condition_n,-2.2204460492503132e-17
has_secondary_use_school,-2.2204460492503132e-17
has_secondary_use_gov_office,0.0
has_secondary_use_health_post,0.0
has_superstructure_cement_mortar_stone,0.0
has_secondary_use_industry,0.0
has_secondary_use_institution,0.0
has_secondary_use_rental,0.0
has_superstructure_timber,0.0
has_superstructure_bamboo,0.0
count_families,0.0
legal_ownership_status_r,0.0
plan_configuration_m,0.0
plan_configuration_c,0.0
plan_configuration_a,0.0
land_surface_condition_t,0.0
foundation_type_h,0.0
ground_floor_type_f,0.0
ground_floor_type_x,0.0
plan_configuration_n,0.0
ground_floor_type_m,0.0
other_floor_type_q,0.0
other_floor_type_s,0.0
land_surface_condition_o,0.0
other_floor_type_j,0.0
height_percentage,0.0
plan_configuration_d,0.0
has_secondary_use_use_police,0.0
plan_configuration_o,0.0
other_floor_type_x,0.0
has_superstructure_stone_flag,7.75381852522905e-05
has_superstructure_rc_engineered,0.0001451457040616999
age,0.00020656406077372845
foundation_type_w,0.00023776742125283245
foundation_type_u,0.0008578960964297888
ground_floor_type_v,0.0013255887148670986
count_floors_pre_eq,0.0017231201486038739
foundation_type_i,0.0038846435164757278
has_superstructure_cement_mortar_brick,0.007027820755410396
has_superstructure_mud_mortar_stone,0.025949981347026217
geo_level_1_id,0.060192907934805626
foundation_type_r,0.07497572595070612
