feature,mean_importance
other_floor_type_q,-0.0004820618292415313
roof_type_x,-0.0004293033961689785
plan_configuration_c,0.0
plan_configuration_s,0.0
plan_configuration_o,0.0
plan_configuration_a,0.0
plan_configuration_n,0.0
plan_configuration_m,0.0
plan_configuration_f,0.0
has_superstructure_adobe_mud,0.0
has_superstructure_stone_flag,0.0
has_superstructure_cement_mortar_stone,0.0
has_superstructure_timber,0.0
has_superstructure_bamboo,0.0
has_superstructure_rc_non_engineered,0.0
plan_configuration_u,0.0
has_superstructure_rc_engineered,0.0
legal_ownership_status_v,0.0
legal_ownership_status_w,0.0
legal_ownership_status_a,0.0
legal_ownership_status_r,0.0
count_families,0.0
has_secondary_use,0.0
has_secondary_use_agriculture,0.0
has_secondary_use_hotel,0.0
has_secondary_use_rental,0.0
has_secondary_use_institution,0.0
has_secondary_use_school,0.0
has_secondary_use_industry,0.0
has_secondary_use_health_post,0.0
has_secondary_use_gov_office,0.0
has_superstructure_other,0.0
has_secondary_use_use_police,0.0
has_secondary_use_other,0.0
plan_configuration_d,0.0
geo_level_2_id,0.0
geo_level_3_id,0.0
age,0.0
area_percentage,0.0
height_percentage,0.0
land_surface_condition_t,0.0
land_surface_condition_n,0.0
land_surface_condition_o,0.0
foundation_type_h,0.0
roof_type_n,0.0
plan_configuration_q,0.0
ground_floor_type_f,0.0
ground_floor_type_x,0.0
roof_type_q,0.0
other_floor_type_s,0.0
ground_floor_type_z,0.0
ground_floor_type_m,0.0
position_o,0.0
position_j,0.0
other_floor_type_x,0.0
other_floor_type_j,0.0
position_s,0.0
position_t,0.0
foundation_type_w,0.0002984220181642794
has_superstructure_mud_mortar_brick,0.00030518851285992187
foundation_type_u,0.0005825271025648116
ground_floor_type_v,0.002032975829297756
count_floors_pre_eq,0.002212905945378729
foundation_type_i,0.00224531475310199
has_superstructure_cement_mortar_brick,0.00814042595826181
has_superstructure_mud_mortar_stone,0.015538855078988667
geo_level_1_id,0.05517543679490955
foundation_type_r,0.05865426069989064
