feature,mean_importance
plan_configuration_c,0.0
plan_configuration_u,0.0
plan_configuration_s,0.0
plan_configuration_o,0.0
plan_configuration_a,0.0
plan_configuration_n,0.0
plan_configuration_m,0.0
plan_configuration_f,0.0
has_superstructure_stone_flag,0.0
has_superstructure_cement_mortar_stone,0.0
has_superstructure_mud_mortar_brick,0.0
has_superstructure_timber,0.0
has_superstructure_bamboo,0.0
has_superstructure_rc_non_engineered,0.0
has_secondary_use_use_police,0.0
has_superstructure_rc_engineered,0.0
legal_ownership_status_v,0.0
legal_ownership_status_w,0.0
legal_ownership_status_a,0.0
legal_ownership_status_r,0.0
has_secondary_use,0.0
has_secondary_use_agriculture,0.0
has_secondary_use_hotel,0.0
has_secondary_use_rental,0.0
has_secondary_use_institution,0.0
has_secondary_use_school,0.0
has_secondary_use_industry,0.0
has_secondary_use_health_post,0.0
has_secondary_use_gov_office,0.0
has_superstructure_other,0.0
plan_configuration_q,0.0
has_secondary_use_other,0.0
position_o,0.0
geo_level_3_id,0.0
area_percentage,0.0
height_percentage,0.0
land_surface_condition_t,0.0
land_surface_condition_n,0.0
land_surface_condition_o,0.0
roof_type_n,0.0
plan_configuration_d,0.0
roof_type_x,0.0
ground_floor_type_f,0.0
ground_floor_type_x,0.0
roof_type_q,0.0
ground_floor_type_z,0.0
position_j,0.0
position_t,0.0
position_s,0.0
ground_floor_type_m,0.0
other_floor_type_j,0.0
other_floor_type_x,0.0
other_floor_type_s,0.0
foundation_type_h,2.4769460666207443e-05
foundation_type_w,0.00016495741355941894
count_families,0.00020488852073154983
foundation_type_u,0.00023450911157203437
other_floor_type_q,0.0005819263762563808
has_superstructure_adobe_mud,0.0006128236332996418
age,0.001985881690482305
ground_floor_type_v,0.0036819980248272042
count_floors_pre_eq,0.0037278722180161374
geo_level_2_id,0.004913412553071428
foundation_type_i,0.005843411192987013
has_superstructure_mud_mortar_stone,0.009217334456601578
has_superstructure_cement_mortar_brick,0.00939286521637106
foundation_type_r,0.05132899214931499
geo_level_1_id,0.07776052274463441
