feature,mean_importance
position_j,-0.0018540312329789587
plan_configuration_d,-0.00046408941411613114
has_superstructure_bamboo,-0.0004050991366902457
position_t,-0.0003966249417630463
ground_floor_type_z,-0.00036578720339708326
legal_ownership_status_r,-0.00026068980633728864
foundation_type_h,-0.00016980181993710985
has_secondary_use_agriculture,-0.00015707520607706195
ground_floor_type_m,-0.00013923060687324185
plan_configuration_s,-0.00011390058136835357
has_secondary_use_industry,-6.40765644641883e-05
has_secondary_use_school,0.0
has_secondary_use_gov_office,0.0
plan_configuration_n,0.0
plan_configuration_m,0.0
plan_configuration_f,0.0
has_secondary_use_health_post,0.0
has_secondary_use_rental,9.193322715428387e-06
has_secondary_use_institution,5.7489340012395475e-05
position_o,6.617115236902116e-05
plan_configuration_o,8.969929647320018e-05
plan_configuration_a,0.00011513445265300958
has_secondary_use_use_police,0.00013402178662431653
legal_ownership_status_a,0.00019330744579875158
has_superstructure_rc_engineered,0.00027507761023499723
legal_ownership_status_w,0.00028720027652544554
plan_configuration_c,0.0003114519517104064
legal_ownership_status_v,0.00033648696138453
has_secondary_use_other,0.0003747297116933446
has_secondary_use_hotel,0.0004280004244303859
other_floor_type_s,0.0004918574884893445
has_superstructure_rc_non_engineered,0.0004951092287296621
land_surface_condition_t,0.0004955024836727606
land_surface_condition_n,0.0006361175291067278
has_secondary_use,0.0008073258745782353
position_s,0.0008104128719804926
roof_type_q,0.0008450701208062572
plan_configuration_q,0.0009285615425849603
foundation_type_w,0.000950186034347289
has_superstructure_mud_mortar_brick,0.0009982336217325694
foundation_type_u,0.0011240566272737508
land_surface_condition_o,0.0012087708165693157
ground_floor_type_x,0.0016225441856076328
roof_type_n,0.001719005647001981
ground_floor_type_f,0.0017440360788009146
other_floor_type_j,0.0018254489935905394
other_floor_type_x,0.0022497411236310104
has_superstructure_cement_mortar_stone,0.0024609500608618663
plan_configuration_u,0.0027632069111643174
has_superstructure_adobe_mud,0.0028035414410643835
has_superstructure_stone_flag,0.003192084233243042
has_superstructure_other,0.003284618511851045
foundation_type_i,0.0033228007286989934
has_superstructure_timber,0.003501339267923731
roof_type_x,0.005511793059789971
foundation_type_r,0.005903705199744503
other_floor_type_q,0.006484692858542451
area_percentage,0.006783312147312914
count_families,0.00700360250630796
ground_floor_type_v,0.007038039606803159
has_superstructure_cement_mortar_brick,0.008344621909831785
count_floors_pre_eq,0.008391771357143595
height_percentage,0.010476258596281495
has_superstructure_mud_mortar_stone,0.014298463526705186
age,0.014989640825288841
geo_level_3_id,0.017654959689328
geo_level_2_id,0.07606570287265457
geo_level_1_id,0.28880472172582367
