feature,mean_importance
has_superstructure_other,-0.0014504262179136473
has_secondary_use_agriculture,-0.001381157256662835
land_surface_condition_o,-0.0011291051238775164
has_secondary_use_other,-0.001127724309638123
legal_ownership_status_v,-0.0008863091483712227
foundation_type_u,-0.0008470207974314636
plan_configuration_u,-0.000794360493123536
other_floor_type_j,-0.0006555170996114468
position_t,-0.0006429436121135667
ground_floor_type_z,-0.0006384994477033557
legal_ownership_status_w,-0.0004645008243620019
legal_ownership_status_a,-0.000309693077951656
has_secondary_use_hotel,-0.00028594431690871503
land_surface_condition_t,-0.00021569547727702255
other_floor_type_x,-0.00017125162333249123
legal_ownership_status_r,-0.00016379987820980269
ground_floor_type_x,-8.381992354986601e-05
plan_configuration_o,-5.358694568278199e-05
plan_configuration_n,0.0
plan_configuration_f,0.0
plan_configuration_m,0.0
has_secondary_use_use_police,0.0
has_secondary_use_institution,0.0
has_secondary_use_school,0.0
has_secondary_use_health_post,0.0
has_secondary_use_gov_office,0.0
plan_configuration_q,1.582089848819468e-05
ground_floor_type_m,4.208048284053412e-05
position_o,4.57178279757331e-05
has_secondary_use_industry,5.2193376421949546e-05
plan_configuration_s,5.448185205461087e-05
plan_configuration_d,0.0001527117557823532
plan_configuration_a,0.00017748021185399755
has_secondary_use_rental,0.00020518455654381374
foundation_type_h,0.00030358136072756726
land_surface_condition_n,0.00039534181803464464
foundation_type_w,0.00043407961353660875
plan_configuration_c,0.0006699299335479747
other_floor_type_s,0.0006879724957049138
ground_floor_type_f,0.0007890790782868918
has_superstructure_bamboo,0.000813193485885888
has_superstructure_rc_non_engineered,0.0011939497113227838
position_s,0.0012036246281117435
count_families,0.0013490229569375733
has_superstructure_cement_mortar_stone,0.0014782036207616534
has_secondary_use,0.0015477616786956805
position_j,0.0016142093613743746
roof_type_q,0.0018767572375014696
has_superstructure_rc_engineered,0.002119760979153229
roof_type_n,0.0021219922842457884
has_superstructure_stone_flag,0.002641888447105867
has_superstructure_mud_mortar_brick,0.0027896423500031187
has_superstructure_timber,0.0034594278275966728
roof_type_x,0.004419443637505194
has_superstructure_adobe_mud,0.004461113904789116
ground_floor_type_v,0.004494822900369777
area_percentage,0.004669661418348547
other_floor_type_q,0.005280979110300543
foundation_type_i,0.006023485674709073
height_percentage,0.006065684397891191
count_floors_pre_eq,0.007035389840230333
has_superstructure_cement_mortar_brick,0.009569483179599025
foundation_type_r,0.014419938790798215
age,0.015645539994537837
has_superstructure_mud_mortar_stone,0.02637135405521842
geo_level_3_id,0.03724697670433672
geo_level_2_id,0.08499128811471166
geo_level_1_id,0.29264327685516334
