feature,mean_importance
foundation_type_h,-0.0011816539160883766
has_superstructure_rc_non_engineered,-0.00029015613794138864
land_surface_condition_o,-6.43169761093132e-05
has_secondary_use_hotel,-2.1484788039360935e-05
plan_configuration_c,0.0
plan_configuration_s,0.0
plan_configuration_a,0.0
plan_configuration_n,0.0
plan_configuration_m,0.0
plan_configuration_f,0.0
legal_ownership_status_r,0.0
has_secondary_use_institution,0.0
has_secondary_use_industry,0.0
has_secondary_use_health_post,0.0
has_secondary_use_gov_office,0.0
has_secondary_use_use_police,0.0
ground_floor_type_m,0.0
has_secondary_use_other,0.0
has_secondary_use_school,2.2204460492503132e-17
has_secondary_use_rental,2.2204460492503132e-17
plan_configuration_o,2.2204460492503132e-17
plan_configuration_q,2.2204460492503132e-17
land_surface_condition_n,1.2702415726151274e-06
plan_configuration_u,2.8290419345822214e-06
ground_floor_type_z,6.2545393489044084e-06
legal_ownership_status_a,2.0727481105753397e-05
land_surface_condition_t,2.766539674914359e-05
position_o,3.0647164195318766e-05
position_j,3.177358583144052e-05
has_superstructure_cement_mortar_stone,3.824616384076052e-05
has_superstructure_bamboo,3.915804386269706e-05
plan_configuration_d,4.5439439894745524e-05
roof_type_n,5.0813380969838565e-05
position_t,5.305929493280015e-05
ground_floor_type_x,5.821462292940893e-05
legal_ownership_status_v,6.708912471864448e-05
has_secondary_use_agriculture,0.00012945939647304172
legal_ownership_status_w,0.000130564697922142
other_floor_type_j,0.0001470190623160672
has_superstructure_mud_mortar_brick,0.00014727812584067746
other_floor_type_s,0.00018056736745009072
other_floor_type_x,0.00020293157288790996
ground_floor_type_f,0.00022500239821223733
position_s,0.00038413637957310785
has_secondary_use,0.0005438238614392299
has_superstructure_adobe_mud,0.0005561335170586323
has_superstructure_other,0.0005919179621272308
geo_level_3_id,0.0006515263172670593
foundation_type_u,0.0006768510782825477
has_superstructure_timber,0.0007415015427595595
roof_type_q,0.0007627100549437493
has_superstructure_stone_flag,0.0007767166255499669
height_percentage,0.0007809098740767295
has_superstructure_rc_engineered,0.0007962928513716383
area_percentage,0.0008715945685945359
count_families,0.001471032644638015
roof_type_x,0.002575629231715637
foundation_type_w,0.002845589427998596
other_floor_type_q,0.003320346089543169
count_floors_pre_eq,0.003491671446109934
age,0.0042001099044564946
foundation_type_i,0.005916306767972746
geo_level_2_id,0.00598728622487219
ground_floor_type_v,0.00601941459342521
has_superstructure_cement_mortar_brick,0.00745461568898007
has_superstructure_mud_mortar_stone,0.023886009963388632
foundation_type_r,0.031579875589199724
geo_level_1_id,0.17179734116934212
