feature,mean_importance
ground_floor_type_x,-0.00010086301734091307
has_superstructure_other,-7.609578092195867e-05
has_secondary_use_hotel,-7.108226734049427e-05
other_floor_type_s,-6.522514440914229e-05
legal_ownership_status_a,-4.756623288793005e-05
position_t,-3.42471477769779e-05
legal_ownership_status_w,-2.8089614461435097e-05
plan_configuration_q,-2.540931904519983e-05
position_j,-1.2368134729490165e-06
position_o,0.0
plan_configuration_d,0.0
has_secondary_use_use_police,0.0
plan_configuration_u,0.0
plan_configuration_s,0.0
plan_configuration_o,0.0
plan_configuration_c,0.0
plan_configuration_n,0.0
plan_configuration_f,0.0
legal_ownership_status_r,0.0
has_secondary_use_institution,0.0
has_secondary_use_school,0.0
has_secondary_use_industry,0.0
has_secondary_use_health_post,0.0
has_secondary_use_gov_office,0.0
plan_configuration_a,0.0
plan_configuration_m,0.0
has_secondary_use_other,0.0
ground_floor_type_m,0.0
ground_floor_type_z,0.0
land_surface_condition_t,1.5103482165157446e-06
other_floor_type_x,1.6911264670094185e-05
land_surface_condition_o,1.7382525045683828e-05
land_surface_condition_n,1.782083601697959e-05
legal_ownership_status_v,1.7853514912569146e-05
has_secondary_use_rental,2.7881141594376936e-05
has_superstructure_cement_mortar_stone,3.3343760220305715e-05
position_s,7.468187968524553e-05
other_floor_type_j,8.717354600873417e-05
has_secondary_use_agriculture,9.64009043441738e-05
has_secondary_use,0.00011065900504190208
has_superstructure_bamboo,0.00011813189162501736
ground_floor_type_f,0.00013617634604541352
roof_type_q,0.00017233807408314483
has_superstructure_timber,0.00018295926114286765
area_percentage,0.0001978998195807824
has_superstructure_mud_mortar_brick,0.0004509522465664828
has_superstructure_rc_engineered,0.0005637536305969304
roof_type_n,0.0007475307353002503
count_families,0.0007683285382614757
has_superstructure_adobe_mud,0.0007919221681981891
foundation_type_u,0.0008588019916156764
has_superstructure_rc_non_engineered,0.0009123192358896804
geo_level_3_id,0.0010459381371718645
foundation_type_h,0.0012694070359508425
foundation_type_w,0.0015197998969559868
has_superstructure_stone_flag,0.0023042154098027678
height_percentage,0.0023368599678140534
roof_type_x,0.0028456134911932995
count_floors_pre_eq,0.0034616104142043192
other_floor_type_q,0.0035519497421479195
age,0.005158217071556304
has_superstructure_cement_mortar_brick,0.007739883961967365
ground_floor_type_v,0.007822210118430494
foundation_type_i,0.009802246767431378
geo_level_2_id,0.011512060476215068
has_superstructure_mud_mortar_stone,0.021758292981312887
foundation_type_r,0.03944168329316111
geo_level_1_id,0.1717964421672928
