feature,mean_importance
has_superstructure_rc_engineered,-0.0007121735729699763
legal_ownership_status_a,-0.0003667301238184928
foundation_type_w,-0.0003044905908384576
plan_configuration_u,-0.00018390138905859387
plan_configuration_d,-9.083572947581331e-05
has_secondary_use_school,-8.215221726419753e-05
legal_ownership_status_w,-5.1398547637537814e-05
plan_configuration_s,-3.519423042233072e-05
plan_configuration_o,0.0
has_secondary_use_institution,0.0
ground_floor_type_m,0.0
has_secondary_use_health_post,0.0
has_secondary_use_gov_office,0.0
plan_configuration_m,0.0
plan_configuration_n,0.0
plan_configuration_a,0.0
has_secondary_use_use_police,0.0
plan_configuration_f,0.0
has_secondary_use_hotel,7.417327895167247e-05
plan_configuration_c,7.505599069697055e-05
legal_ownership_status_r,0.00015323456258786727
has_secondary_use_industry,0.0001608775393095563
ground_floor_type_f,0.00021036707890118578
position_o,0.00021083672931456742
other_floor_type_s,0.00022220888161403885
legal_ownership_status_v,0.0002479755229066738
plan_configuration_q,0.00026003164878654064
has_secondary_use_other,0.00029700141399096046
foundation_type_i,0.00033381530249778637
has_secondary_use_rental,0.0004355212662519259
land_surface_condition_t,0.0004844142648712024
has_superstructure_bamboo,0.000537164659738898
position_t,0.0005709064645660567
foundation_type_u,0.0005803352469184508
ground_floor_type_z,0.0006939224125906529
has_superstructure_cement_mortar_stone,0.0007202285447978519
has_superstructure_other,0.0007283415605081611
roof_type_n,0.0008052571363329486
roof_type_x,0.0009200049215863926
land_surface_condition_o,0.0009398138337154638
has_secondary_use_agriculture,0.0010092076581923238
position_j,0.001133736988660683
has_superstructure_rc_non_engineered,0.0011454572691067533
land_surface_condition_n,0.001151073956914539
foundation_type_h,0.001174179228710437
other_floor_type_x,0.001414238775413712
has_superstructure_adobe_mud,0.0015555222081548247
ground_floor_type_x,0.0015999753750620238
position_s,0.001708054642161372
has_secondary_use,0.001981275590819842
has_superstructure_mud_mortar_brick,0.002308988600500439
height_percentage,0.002416374008716593
roof_type_q,0.002729210569916751
has_superstructure_stone_flag,0.0029115013594738894
count_families,0.003214531556625122
other_floor_type_j,0.0034285249971912624
ground_floor_type_v,0.003948476279622226
area_percentage,0.004039318969521389
count_floors_pre_eq,0.004472389491509921
has_superstructure_timber,0.006284702352436678
foundation_type_r,0.008931378670820344
other_floor_type_q,0.009764530480812383
has_superstructure_cement_mortar_brick,0.01032788700731142
geo_level_3_id,0.011904755532313715
age,0.01766839626966814
has_superstructure_mud_mortar_stone,0.024029515455352056
geo_level_2_id,0.06230892046129621
geo_level_1_id,0.2749112561768069
